8.000000000000000000e+00,2.000000000000000000e+00,-1.657528999999999897e+01
8.000000000000000000e+00,4.000000000000000000e+00,-2.207244999999999990e+01
8.000000000000000000e+00,6.000000000000000000e+00,-2.576041000000000025e+01
8.000000000000000000e+00,8.000000000000000000e+00,-2.826697000000000060e+01
8.000000000000000000e+00,1.000000000000000000e+01,-2.985611000000000104e+01
8.000000000000000000e+00,1.200000000000000000e+01,-3.082073000000000107e+01
8.000000000000000000e+00,1.400000000000000000e+01,-3.137646000000000157e+01
8.000000000000000000e+00,1.600000000000000000e+01,-3.168394999999999939e+01
8.000000000000000000e+00,1.800000000000000000e+01,-3.184789999999999921e+01
9.000000000000000000e+00,2.000000000000000000e+00,-1.876554000000000144e+01
9.000000000000000000e+00,4.000000000000000000e+00,-2.421102000000000132e+01
9.000000000000000000e+00,6.000000000000000000e+00,-2.754316999999999993e+01
9.000000000000000000e+00,8.000000000000000000e+00,-2.959770999999999930e+01
9.000000000000000000e+00,1.000000000000000000e+01,-3.075878000000000156e+01
9.000000000000000000e+00,1.200000000000000000e+01,-3.138568000000000069e+01
9.000000000000000000e+00,1.400000000000000000e+01,-3.170677999999999841e+01
9.000000000000000000e+00,1.600000000000000000e+01,-3.186670000000000158e+01
9.000000000000000000e+00,1.800000000000000000e+01,-3.194453000000000031e+01
1.000000000000000000e+01,2.000000000000000000e+00,-2.062863000000000113e+01
1.000000000000000000e+01,4.000000000000000000e+00,-2.590418000000000021e+01
1.000000000000000000e+01,6.000000000000000000e+00,-2.881887000000000043e+01
1.000000000000000000e+01,8.000000000000000000e+00,-3.044100999999999857e+01
1.000000000000000000e+01,1.000000000000000000e+01,-3.125913999999999859e+01
1.000000000000000000e+01,1.200000000000000000e+01,-3.165792000000000073e+01
1.000000000000000000e+01,1.400000000000000000e+01,-3.184508999999999901e+01
1.000000000000000000e+01,1.600000000000000000e+01,-3.193299000000000021e+01
1.000000000000000000e+01,1.800000000000000000e+01,-3.197466000000000008e+01
1.250000000000000000e+01,2.000000000000000000e+00,-2.392152000000000100e+01
1.250000000000000000e+01,4.000000000000000000e+00,-2.851268999999999920e+01
1.250000000000000000e+01,6.000000000000000000e+00,-3.044546000000000063e+01
1.250000000000000000e+01,8.000000000000000000e+00,-3.130909000000000120e+01
1.250000000000000000e+01,1.000000000000000000e+01,-3.167491000000000057e+01
